run_date,genderConcept,variable,value,Range
2020-06-10,FEMALE,ARIVisitInTimeRange,21515,"['2020-01-01', '2020-06-10']"
2020-06-10,MALE,ARIVisitInTimeRange,18103,"['2020-01-01', '2020-06-10']"
2020-06-10,No matching concept,ARIVisitInTimeRange,12,"['2020-01-01', '2020-06-10']"
2020-06-10,FEMALE,SARSCoV2TestedInTimeRange,31519,"['2020-01-01', '2020-06-10']"
2020-06-10,MALE,SARSCoV2TestedInTimeRange,19903,"['2020-01-01', '2020-06-10']"
2020-06-10,No matching concept,SARSCoV2TestedInTimeRange,37,"['2020-01-01', '2020-06-10']"
2020-06-10,FEMALE,SARSCoV2DetectedInTimeRange,851,"['2020-01-01', '2020-06-10']"
2020-06-10,MALE,SARSCoV2DetectedInTimeRange,943,"['2020-01-01', '2020-06-10']"
2020-06-10,No matching concept,SARSCoV2DetectedInTimeRange,0,"['2020-01-01', '2020-06-10']"
2020-06-10,FEMALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,4168,"[-1, 14]"
2020-06-10,MALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,3244,"[-1, 14]"
2020-06-10,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,5,"[-1, 14]"
2020-06-10,FEMALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,302,"[-1, 14]"
2020-06-10,MALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,338,"[-1, 14]"
2020-06-10,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0,"[-1, 14]"
